Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,149.0,150.5500030517578,147.97999572753906,150.52999877929688,139.8503875732422,3311900
2020-01-03,148.77000427246094,149.9600067138672,147.4499969482422,148.44000244140625,137.9086456298828,3100600
2020-01-06,147.27000427246094,148.55999755859375,146.5399932861328,148.33999633789062,137.8157501220703,2549600
2020-01-07,147.35000610351562,147.57000732421875,145.50999450683594,146.3800048828125,135.9947967529297,2841900
2020-01-08,146.8300018310547,148.57000732421875,146.4600067138672,147.67999267578125,137.2025909423828,2153200
2020-01-09,147.80999755859375,147.97000122070312,146.50999450683594,147.30999755859375,136.85879516601562,2272500
2020-01-10,147.4499969482422,147.72000122070312,145.8300018310547,146.1300048828125,135.76254272460938,2393700
2020-01-13,146.52999877929688,146.8300018310547,145.5500030517578,146.82000732421875,136.40357971191406,3355200
2020-01-14,147.4499969482422,147.97999572753906,146.30999755859375,146.67999267578125,136.2735137939453,2742200
2020-01-15,146.22000122070312,146.74000549316406,145.1999969482422,145.57000732421875,135.24227905273438,2640500
2020-01-16,146.42999267578125,147.92999267578125,146.24000549316406,147.8699951171875,137.37908935546875,3070900
2020-01-17,147.2100067138672,148.27000427246094,146.60000610351562,147.77999877929688,138.25851440429688,3331500
2020-01-21,147.1999969482422,147.8699951171875,145.69000244140625,145.85000610351562,136.45291137695312,2476700
2020-01-22,146.25,146.55999755859375,142.52000427246094,142.6300048828125,133.4403533935547,3602400
2020-01-23,141.80999755859375,143.2100067138672,139.8000030517578,142.75,133.55258178710938,3182700
2020-01-24,142.5500030517578,142.6999969482422,139.25999450683594,140.3800048828125,131.3353271484375,2526200
2020-01-27,136.89999389648438,137.80999755859375,135.57000732421875,135.72999572753906,126.9848861694336,2920500
2020-01-28,137.02000427246094,137.60000610351562,135.6199951171875,136.74000549316406,127.92984008789062,2763800
2020-01-29,137.58999633789062,137.75999450683594,135.6699981689453,135.77999877929688,127.03168487548828,2620000
2020-01-30,134.75999450683594,135.97000122070312,132.91000366210938,135.3699951171875,126.64811706542969,3862600
2020-01-31,133.82000732421875,134.99000549316406,130.5399932861328,131.35000610351562,122.88712310791016,6785700
2020-02-03,131.44000244140625,133.16000366210938,129.3000030517578,129.77000427246094,121.40890502929688,4385300
2020-02-04,133.0,134.77999877929688,132.67999267578125,133.50999450683594,124.90794372558594,3501600
2020-02-05,135.5500030517578,137.47000122070312,135.44000244140625,137.44000244140625,128.584716796875,4448100
2020-02-06,138.1999969482422,138.3300018310547,136.1300048828125,137.25,128.406982421875,2283800
2020-02-07,136.0399932861328,136.49000549316406,133.0,133.3699951171875,124.77694702148438,3812300
